# Shell_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.410e-07 3.050e-07 2.688e-07 1.661e-08
      13 3.170e-07 3.890e-07 3.482e-07 1.584e-08
      16 3.570e-07 5.380e-07 4.271e-07 5.779e-08
      20 4.490e-07 5.590e-07 4.996e-07 2.814e-08
      25 5.630e-07 6.820e-07 6.177e-07 2.938e-08
      32 7.390e-07 8.890e-07 8.022e-07 3.421e-08
      40 9.080e-07 1.066e-06 9.751e-07 4.462e-08
      50 1.162e-06 1.352e-06 1.265e-06 4.811e-08
      63 1.564e-06 1.793e-06 1.674e-06 6.104e-08
      79 2.098e-06 2.323e-06 2.201e-06 6.573e-08
     100 2.747e-06 3.019e-06 2.903e-06 6.908e-08
     126 3.319e-06 3.835e-06 3.538e-06 1.314e-07
     158 4.388e-06 4.822e-06 4.576e-06 9.945e-08
     200 5.904e-06 6.619e-06 6.123e-06 1.769e-07
     251 7.699e-06 8.172e-06 7.922e-06 1.203e-07
     316 1.016e-05 1.088e-05 1.039e-05 1.361e-07
     398 1.341e-05 1.524e-05 1.411e-05 6.485e-07
     501 1.771e-05 1.836e-05 1.803e-05 1.833e-07
     631 2.343e-05 2.619e-05 2.403e-05 6.658e-07
     794 3.057e-05 3.427e-05 3.160e-05 1.172e-06
    1000 4.000e-05 4.510e-05 4.228e-05 1.966e-06
    1259 5.245e-05 5.895e-05 5.398e-05 1.823e-06
    1585 6.939e-05 7.733e-05 7.140e-05 2.263e-06
    1995 9.029e-05 1.006e-04 9.251e-05 2.859e-06
    2512 1.179e-04 1.325e-04 1.217e-04 4.462e-06
    3162 1.530e-04 1.658e-04 1.554e-04 2.487e-06
    3981 2.003e-04 2.093e-04 2.029e-04 2.192e-06
    5012 2.618e-04 2.892e-04 2.674e-04 5.836e-06
    6310 3.407e-04 3.744e-04 3.487e-04 8.129e-06
    7943 4.424e-04 4.720e-04 4.512e-04 7.397e-06
   10000 5.739e-04 5.969e-04 5.823e-04 6.773e-06
#------- --------- --------- --------- ---------


