# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 8.970e-07 1.164e-06 1.034e-06 6.516e-08
      13 1.181e-06 1.548e-06 1.351e-06 9.593e-08
      16 1.515e-06 1.942e-06 1.751e-06 1.143e-07
      20 2.110e-06 2.696e-06 2.398e-06 1.481e-07
      25 3.101e-06 3.828e-06 3.475e-06 1.885e-07
      32 4.620e-06 5.640e-06 5.215e-06 2.593e-07
      40 6.216e-06 7.998e-06 7.099e-06 4.363e-07
      50 9.366e-06 1.087e-05 1.004e-05 3.991e-07
      63 1.273e-05 1.606e-05 1.487e-05 7.640e-07
      79 5.808e-06 6.923e-06 6.430e-06 2.828e-07
     100 8.934e-06 1.086e-05 1.005e-05 4.689e-07
     126 1.341e-05 1.946e-05 1.635e-05 1.756e-06
     158 1.790e-05 2.616e-05 2.214e-05 2.479e-06
     200 2.822e-05 3.895e-05 3.293e-05 3.153e-06
     251 3.804e-05 4.830e-05 4.228e-05 2.554e-06
     316 5.839e-05 7.048e-05 6.388e-05 3.483e-06
     398 8.742e-05 1.020e-04 9.314e-05 3.694e-06
     501 1.339e-04 1.554e-04 1.422e-04 6.768e-06
     631 2.020e-04 2.263e-04 2.090e-04 5.277e-06
     794 3.092e-04 3.414e-04 3.173e-04 6.883e-06
    1000 4.751e-04 6.678e-04 4.996e-04 3.764e-05
    1259 7.349e-04 7.760e-04 7.486e-04 1.048e-05
    1585 1.143e-03 1.190e-03 1.159e-03 1.185e-05
    1995 1.775e-03 1.876e-03 1.805e-03 1.895e-05
    2512 2.786e-03 2.883e-03 2.820e-03 2.082e-05
    3162 4.383e-03 4.495e-03 4.432e-03 2.731e-05
    3981 6.947e-03 7.511e-03 7.110e-03 1.431e-04
    5012 1.109e-02 1.198e-02 1.129e-02 2.079e-04
    6310 1.799e-02 2.217e-02 1.897e-02 9.783e-04
    7943 3.007e-02 3.093e-02 3.042e-02 2.077e-04
   10000 5.488e-02 5.646e-02 5.562e-02 3.851e-04
#------- --------- --------- --------- ---------


