# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.690e-07 3.330e-07 2.951e-07 1.583e-08
      13 3.290e-07 4.090e-07 3.689e-07 2.092e-08
      16 4.050e-07 4.900e-07 4.463e-07 2.296e-08
      20 4.950e-07 5.920e-07 5.396e-07 2.591e-08
      25 6.150e-07 7.320e-07 6.738e-07 2.838e-08
      32 8.250e-07 9.590e-07 8.883e-07 3.321e-08
      40 1.062e-06 1.216e-06 1.134e-06 3.642e-08
      50 1.387e-06 1.556e-06 1.466e-06 4.311e-08
      63 1.821e-06 2.018e-06 1.914e-06 5.896e-08
      79 2.186e-06 2.566e-06 2.357e-06 1.073e-07
     100 3.196e-06 3.458e-06 3.324e-06 6.784e-08
     126 4.251e-06 4.520e-06 4.394e-06 7.052e-08
     158 5.080e-06 5.872e-06 5.599e-06 2.497e-07
     200 6.709e-06 7.584e-06 7.335e-06 2.481e-07
     251 8.690e-06 9.882e-06 9.196e-06 3.869e-07
     316 1.136e-05 1.225e-05 1.161e-05 1.586e-07
     398 1.488e-05 1.555e-05 1.516e-05 1.472e-07
     501 1.956e-05 2.333e-05 2.088e-05 1.194e-06
     631 2.547e-05 2.618e-05 2.579e-05 1.750e-07
     794 3.335e-05 3.673e-05 3.375e-05 4.713e-07
    1000 4.337e-05 4.881e-05 4.506e-05 1.996e-06
    1259 5.643e-05 6.308e-05 5.807e-05 2.086e-06
    1585 7.299e-05 8.121e-05 7.443e-05 2.048e-06
    1995 9.480e-05 1.056e-04 9.683e-05 2.857e-06
    2512 1.229e-04 1.399e-04 1.254e-04 4.373e-06
    3162 1.593e-04 1.705e-04 1.613e-04 2.541e-06
    3981 2.064e-04 2.285e-04 2.094e-04 5.002e-06
    5012 2.663e-04 2.843e-04 2.696e-04 4.487e-06
    6310 3.436e-04 3.670e-04 3.472e-04 5.254e-06
    7943 4.441e-04 4.728e-04 4.488e-04 6.174e-06
   10000 5.724e-04 6.083e-04 5.793e-04 8.436e-06
#------- --------- --------- --------- ---------


