# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.180e-07 2.490e-07 2.331e-07 8.276e-09
      13 2.440e-07 2.740e-07 2.598e-07 7.900e-09
      16 2.790e-07 3.040e-07 2.901e-07 6.360e-09
      20 3.190e-07 3.570e-07 3.364e-07 1.015e-08
      25 3.760e-07 4.250e-07 4.032e-07 1.223e-08
      32 4.850e-07 5.400e-07 5.090e-07 1.352e-08
      40 6.100e-07 6.990e-07 6.545e-07 2.238e-08
      50 8.110e-07 9.000e-07 8.543e-07 2.379e-08
      63 1.085e-06 1.210e-06 1.148e-06 3.490e-08
      79 1.477e-06 1.662e-06 1.581e-06 4.601e-08
     100 2.071e-06 2.383e-06 2.241e-06 7.605e-08
     126 2.849e-06 3.446e-06 3.101e-06 1.604e-07
     158 4.177e-06 4.965e-06 4.542e-06 2.123e-07
     200 6.260e-06 7.242e-06 6.729e-06 2.457e-07
     251 9.385e-06 1.081e-05 9.974e-06 3.267e-07
     316 1.438e-05 1.701e-05 1.540e-05 6.609e-07
     398 2.203e-05 2.520e-05 2.310e-05 6.712e-07
     501 3.532e-05 4.158e-05 3.786e-05 1.640e-06
     631 5.320e-05 5.865e-05 5.533e-05 1.175e-06
     794 8.404e-05 9.850e-05 8.840e-05 3.740e-06
    1000 1.308e-04 1.491e-04 1.371e-04 4.633e-06
    1259 2.061e-04 2.382e-04 2.154e-04 8.293e-06
    1585 3.245e-04 3.570e-04 3.342e-04 7.714e-06
    1995 5.070e-04 5.443e-04 5.225e-04 8.455e-06
    2512 8.072e-04 8.530e-04 8.240e-04 9.626e-06
    3162 1.270e-03 1.326e-03 1.297e-03 1.295e-05
    3981 2.018e-03 2.094e-03 2.056e-03 1.801e-05
    5012 3.194e-03 3.291e-03 3.240e-03 2.310e-05
    6310 5.066e-03 5.216e-03 5.135e-03 3.471e-05
    7943 8.019e-03 8.231e-03 8.107e-03 4.537e-05
   10000 1.272e-02 1.304e-02 1.285e-02 7.518e-05
#------- --------- --------- --------- ---------


