# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.160e-07 2.450e-07 2.298e-07 7.912e-09
      13 2.440e-07 2.760e-07 2.621e-07 8.590e-09
      16 2.790e-07 3.140e-07 2.940e-07 8.756e-09
      20 3.190e-07 3.610e-07 3.407e-07 1.124e-08
      25 3.850e-07 4.320e-07 4.069e-07 1.300e-08
      32 4.640e-07 5.430e-07 5.059e-07 2.015e-08
      40 6.550e-07 7.840e-07 7.213e-07 3.734e-08
      50 8.830e-07 9.890e-07 9.380e-07 2.832e-08
      63 1.143e-06 1.110e-05 2.229e-06 2.916e-06
      79 1.648e-06 1.865e-06 1.750e-06 5.655e-08
     100 2.223e-06 2.407e-06 2.332e-06 4.602e-08
     126 2.741e-06 3.033e-06 2.878e-06 7.942e-08
     158 3.776e-06 3.976e-06 3.865e-06 4.913e-08
     200 4.646e-06 5.238e-06 4.803e-06 1.534e-07
     251 5.950e-06 6.866e-06 6.378e-06 3.185e-07
     316 8.156e-06 9.176e-06 8.603e-06 3.912e-07
     398 1.082e-05 1.224e-05 1.127e-05 4.372e-07
     501 1.415e-05 1.692e-05 1.544e-05 6.156e-07
     631 1.910e-05 2.157e-05 2.095e-05 4.654e-07
     794 2.636e-05 2.955e-05 2.720e-05 8.040e-07
    1000 3.213e-05 3.663e-05 3.317e-05 1.293e-06
    1259 4.249e-05 4.743e-05 4.310e-05 9.735e-07
    1585 5.637e-05 6.452e-05 5.955e-05 2.919e-06
    1995 7.243e-05 7.742e-05 7.311e-05 7.312e-07
    2512 9.489e-05 1.060e-04 9.965e-05 4.565e-06
    3162 1.259e-04 1.403e-04 1.281e-04 3.559e-06
    3981 1.610e-04 1.756e-04 1.629e-04 2.977e-06
    5012 2.096e-04 2.317e-04 2.143e-04 6.698e-06
    6310 2.780e-04 2.979e-04 2.810e-04 4.313e-06
    7943 3.551e-04 3.756e-04 3.584e-04 4.608e-06
   10000 4.597e-04 5.169e-04 4.856e-04 1.435e-05
#------- --------- --------- --------- ---------


