# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.010e-07 2.330e-07 2.149e-07 8.567e-09
      13 2.350e-07 2.830e-07 2.603e-07 1.256e-08
      16 2.810e-07 3.160e-07 2.968e-07 8.254e-09
      20 3.630e-07 4.410e-07 4.012e-07 1.812e-08
      25 4.080e-07 4.850e-07 4.392e-07 1.894e-08
      32 5.280e-07 6.400e-07 5.784e-07 2.836e-08
      40 6.980e-07 8.100e-07 7.456e-07 2.551e-08
      50 8.870e-07 1.019e-06 9.402e-07 3.279e-08
      63 1.170e-06 1.372e-06 1.273e-06 5.543e-08
      79 1.500e-06 1.773e-06 1.614e-06 7.108e-08
     100 1.998e-06 2.267e-06 2.101e-06 6.813e-08
     126 2.556e-06 2.980e-06 2.739e-06 1.191e-07
     158 3.370e-06 3.923e-06 3.562e-06 1.450e-07
     200 4.535e-06 5.282e-06 4.987e-06 1.932e-07
     251 5.881e-06 6.775e-06 6.373e-06 2.596e-07
     316 7.687e-06 8.211e-06 7.947e-06 1.460e-07
     398 1.000e-05 1.073e-05 1.036e-05 1.712e-07
     501 1.322e-05 1.520e-05 1.384e-05 5.498e-07
     631 1.718e-05 1.985e-05 1.826e-05 8.358e-07
     794 2.245e-05 2.704e-05 2.346e-05 9.357e-07
    1000 2.953e-05 3.359e-05 3.094e-05 1.260e-06
    1259 3.836e-05 4.661e-05 3.984e-05 1.682e-06
    1585 5.000e-05 5.836e-05 5.230e-05 2.288e-06
    1995 6.578e-05 7.409e-05 6.827e-05 2.310e-06
    2512 8.743e-05 9.830e-05 9.049e-05 2.801e-06
    3162 1.108e-04 1.263e-04 1.159e-04 4.339e-06
    3981 1.433e-04 1.592e-04 1.477e-04 3.525e-06
    5012 1.859e-04 2.066e-04 1.914e-04 4.835e-06
    6310 2.408e-04 2.664e-04 2.481e-04 5.040e-06
    7943 3.112e-04 3.449e-04 3.222e-04 9.020e-06
   10000 4.020e-04 4.486e-04 4.147e-04 8.853e-06
#------- --------- --------- --------- ---------


