# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.120e-07 2.330e-07 2.167e-07 6.305e-09
      13 2.360e-07 2.640e-07 2.482e-07 9.102e-09
      16 2.480e-07 3.100e-07 2.787e-07 1.698e-08
      20 3.020e-07 3.700e-07 3.356e-07 1.766e-08
      25 3.860e-07 4.640e-07 4.248e-07 2.061e-08
      32 5.470e-07 6.470e-07 5.935e-07 2.782e-08
      40 8.370e-07 9.810e-07 9.031e-07 3.572e-08
      50 1.206e-06 1.353e-06 1.270e-06 4.002e-08
      63 1.898e-06 2.171e-06 2.035e-06 6.658e-08
      79 2.843e-06 3.336e-06 3.058e-06 1.412e-07
     100 4.502e-06 5.334e-06 4.813e-06 2.127e-07
     126 7.027e-06 7.949e-06 7.451e-06 2.259e-07
     158 1.130e-05 1.310e-05 1.203e-05 4.431e-07
     200 1.798e-05 2.088e-05 1.898e-05 7.067e-07
     251 2.858e-05 3.791e-05 3.101e-05 2.166e-06
     316 4.637e-05 5.308e-05 4.934e-05 2.011e-06
     398 7.304e-05 8.903e-05 7.884e-05 4.703e-06
     501 1.157e-04 1.372e-04 1.228e-04 6.262e-06
     631 1.832e-04 2.137e-04 1.939e-04 8.198e-06
     794 2.918e-04 3.376e-04 3.057e-04 1.329e-05
    1000 4.648e-04 5.295e-04 4.786e-04 1.183e-05
    1259 7.345e-04 7.906e-04 7.547e-04 1.237e-05
    1585 1.170e-03 1.276e-03 1.199e-03 2.165e-05
    1995 1.864e-03 2.065e-03 1.906e-03 3.445e-05
    2512 2.951e-03 3.378e-03 3.021e-03 7.428e-05
    3162 4.696e-03 5.275e-03 4.834e-03 1.403e-04
    3981 7.452e-03 8.237e-03 7.694e-03 2.095e-04
    5012 1.186e-02 1.266e-02 1.220e-02 2.527e-04
    6310 1.872e-02 1.989e-02 1.927e-02 3.147e-04
    7943 2.974e-02 3.112e-02 3.045e-02 4.327e-04
   10000 4.705e-02 4.906e-02 4.809e-02 5.650e-04
#------- --------- --------- --------- ---------


