# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.310e-07 3.140e-07 2.553e-07 2.391e-08
      13 2.990e-07 3.500e-07 3.242e-07 1.541e-08
      16 3.810e-07 4.810e-07 3.963e-07 1.949e-08
      20 5.190e-07 6.040e-07 5.371e-07 1.268e-08
      25 7.410e-07 7.820e-07 7.565e-07 8.909e-09
      32 1.126e-06 1.160e-06 1.140e-06 7.863e-09
      40 1.667e-06 1.721e-06 1.696e-06 1.226e-08
      50 2.509e-06 2.586e-06 2.557e-06 1.920e-08
      63 3.853e-06 4.337e-06 3.976e-06 9.275e-08
      79 5.967e-06 6.154e-06 6.084e-06 4.912e-08
     100 9.413e-06 9.744e-06 9.620e-06 9.040e-08
     126 1.470e-05 1.540e-05 1.506e-05 1.736e-07
     158 2.302e-05 2.379e-05 2.343e-05 2.168e-07
     200 3.683e-05 4.185e-05 3.846e-05 1.449e-06
     251 5.789e-05 5.995e-05 5.886e-05 4.574e-07
     316 9.223e-05 1.043e-04 9.514e-05 3.379e-06
     398 1.464e-04 1.626e-04 1.502e-04 4.710e-06
     501 2.323e-04 2.603e-04 2.380e-04 8.587e-06
     631 3.688e-04 3.922e-04 3.728e-04 4.565e-06
     794 5.864e-04 6.222e-04 5.922e-04 7.286e-06
    1000 9.336e-04 9.529e-04 9.393e-04 5.881e-06
    1259 1.485e-03 1.537e-03 1.495e-03 1.115e-05
    1585 2.360e-03 2.388e-03 2.372e-03 7.368e-06
    1995 3.756e-03 3.811e-03 3.769e-03 1.059e-05
    2512 5.969e-03 6.129e-03 5.994e-03 3.233e-05
    3162 9.476e-03 9.540e-03 9.496e-03 1.278e-05
    3981 1.505e-02 1.510e-02 1.507e-02 1.222e-05
    5012 2.390e-02 2.402e-02 2.392e-02 2.766e-05
    6310 3.793e-02 3.818e-02 3.797e-02 5.501e-05
    7943 6.016e-02 6.030e-02 6.020e-02 3.158e-05
   10000 9.544e-02 9.587e-02 9.553e-02 9.809e-05
#------- --------- --------- --------- ---------


