# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.510e-07 3.140e-07 2.825e-07 1.683e-08
      13 3.150e-07 4.030e-07 3.547e-07 2.284e-08
      16 3.780e-07 4.850e-07 4.323e-07 2.960e-08
      20 4.980e-07 6.590e-07 5.760e-07 4.612e-08
      25 6.740e-07 8.250e-07 7.502e-07 4.064e-08
      32 1.064e-06 1.280e-06 1.170e-06 5.463e-08
      40 1.547e-06 1.962e-06 1.710e-06 1.120e-07
      50 2.222e-06 2.695e-06 2.446e-06 1.184e-07
      63 3.272e-06 3.877e-06 3.544e-06 1.620e-07
      79 4.869e-06 5.764e-06 5.337e-06 2.417e-07
     100 7.051e-06 8.884e-06 7.889e-06 4.548e-07
     126 1.092e-05 1.312e-05 1.204e-05 5.897e-07
     158 1.574e-05 2.102e-05 1.883e-05 1.318e-06
     200 2.401e-05 3.302e-05 2.963e-05 2.062e-06
     251 3.437e-05 5.001e-05 4.097e-05 4.159e-06
     316 4.974e-05 6.344e-05 5.509e-05 3.674e-06
     398 7.503e-05 9.315e-05 8.269e-05 4.667e-06
     501 1.117e-04 1.283e-04 1.177e-04 4.080e-06
     631 1.671e-04 1.941e-04 1.780e-04 7.118e-06
     794 2.557e-04 2.818e-04 2.650e-04 6.265e-06
    1000 3.899e-04 4.261e-04 4.028e-04 9.037e-06
    1259 5.953e-04 6.597e-04 6.138e-04 1.287e-05
    1585 9.274e-04 9.828e-04 9.494e-04 1.330e-05
    1995 1.440e-03 1.523e-03 1.476e-03 1.949e-05
    2512 2.285e-03 2.692e-03 2.341e-03 4.941e-05
    3162 3.667e-03 3.830e-03 3.736e-03 3.924e-05
    3981 6.095e-03 6.459e-03 6.221e-03 7.697e-05
    5012 1.058e-02 2.013e-02 1.181e-02 2.643e-03
    6310 1.889e-02 3.212e-02 2.107e-02 4.274e-03
    7943 3.329e-02 3.563e-02 3.387e-02 3.642e-04
   10000 5.830e-02 8.081e-02 6.089e-02 5.210e-03
#------- --------- --------- --------- ---------


