# tree_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.400e-07 4.310e-07 3.830e-07 2.546e-08
      13 4.190e-07 5.770e-07 4.877e-07 4.403e-08
      16 4.690e-07 5.740e-07 5.128e-07 2.750e-08
      20 5.730e-07 7.190e-07 6.340e-07 3.429e-08
      25 7.110e-07 8.860e-07 7.856e-07 4.569e-08
      32 9.450e-07 1.133e-06 1.039e-06 4.801e-08
      40 1.256e-06 1.473e-06 1.352e-06 5.269e-08
      50 1.580e-06 1.864e-06 1.712e-06 7.614e-08
      63 2.061e-06 2.704e-06 2.299e-06 1.445e-07
      79 2.623e-06 3.056e-06 2.804e-06 1.082e-07
     100 3.429e-06 3.885e-06 3.652e-06 1.019e-07
     126 4.533e-06 5.090e-06 4.776e-06 1.385e-07
     158 5.873e-06 6.531e-06 6.190e-06 1.842e-07
     200 7.605e-06 8.367e-06 7.927e-06 1.868e-07
     251 9.903e-06 1.072e-05 1.025e-05 2.108e-07
     316 1.283e-05 1.379e-05 1.328e-05 2.360e-07
     398 1.677e-05 1.846e-05 1.737e-05 4.227e-07
     501 2.343e-05 3.166e-05 2.609e-05 2.068e-06
     631 2.880e-05 3.348e-05 3.050e-05 1.375e-06
     794 3.699e-05 4.015e-05 3.828e-05 8.194e-07
    1000 4.890e-05 6.097e-05 5.241e-05 2.695e-06
    1259 6.330e-05 7.449e-05 6.634e-05 2.449e-06
    1585 8.310e-05 9.596e-05 8.819e-05 3.881e-06
    1995 1.079e-04 1.303e-04 1.168e-04 6.121e-06
    2512 1.413e-04 1.618e-04 1.472e-04 5.540e-06
    3162 1.856e-04 2.172e-04 1.949e-04 7.848e-06
    3981 2.443e-04 2.891e-04 2.533e-04 9.831e-06
    5012 3.225e-04 3.615e-04 3.327e-04 9.592e-06
    6310 4.236e-04 4.693e-04 4.380e-04 1.049e-05
    7943 5.574e-04 5.916e-04 5.706e-04 9.508e-06
   10000 7.355e-04 8.210e-04 7.545e-04 1.537e-05
#------- --------- --------- --------- ---------


